county,perc_not_secure_state,taxonomic_subgroup,n
Clinton,27.11864406779661,Vireos,5
Clinton,27.11864406779661,Waxwings,1
Clinton,27.11864406779661,Wood-Warblers,23
Clinton,27.11864406779661,Woodpeckers,8
Clinton,27.11864406779661,Wrens,5
Clinton,27.11864406779661,Larks,1
Clinton,27.11864406779661,Loons,1
Clinton,27.11864406779661,Shrikes,1
Columbia,13.194444444444445,All,153
Columbia,13.194444444444445,Blackbirds and Orioles,7
Columbia,13.194444444444445,Cardinals and Buntings,4
Columbia,13.194444444444445,Chickadees and Titmice,2
Columbia,13.194444444444445,Cormorants,1
Columbia,13.194444444444445,Creepers,1
Columbia,13.194444444444445,Crows and Jays,4
Columbia,13.194444444444445,Cuckoos,2
Columbia,13.194444444444445,"Ducks, Geese, Waterfowl",9
Columbia,13.194444444444445,Finches and Crossbills,3
Columbia,13.194444444444445,Flycatchers,7
Columbia,13.194444444444445,Gnatcatchers,1
Columbia,13.194444444444445,Grebes,1
Columbia,13.194444444444445,"Grouse, Pheasants, Turkeys",4
Columbia,13.194444444444445,"Gulls, Terns, Plovers, Shorebirds",5
Columbia,13.194444444444445,"Hawks, Falcons, Eagles, Vultures",13
Columbia,13.194444444444445,"Herons, Bitterns, Egrets, Pelicans",5
Columbia,13.194444444444445,Hummingbirds and Swifts,2
Columbia,13.194444444444445,Kingfishers,1
Columbia,13.194444444444445,Kinglets,1
Columbia,13.194444444444445,Mockingbirds and Thrashers,3
Columbia,13.194444444444445,Nightbirds,2
Columbia,13.194444444444445,Nuthatches,2
Columbia,13.194444444444445,Old World Sparrows,1
Columbia,13.194444444444445,Owls,4
Columbia,13.194444444444445,Pigeons and Doves,2
Columbia,13.194444444444445,"Rails, Coots and Cranes",3
Columbia,13.194444444444445,Sparrows and Towhees,10
Columbia,13.194444444444445,Starlings,1
Columbia,13.194444444444445,Swallows,5
Columbia,13.194444444444445,Thrushes and Bluebirds,6
Columbia,13.194444444444445,Vireos,5
Columbia,13.194444444444445,Waxwings,1
Columbia,13.194444444444445,Wood-Warblers,24
Columbia,13.194444444444445,Woodpeckers,7
Columbia,13.194444444444445,Wrens,4
Cortland,12.413793103448276,All,151
Cortland,12.413793103448276,Blackbirds and Orioles,7
Cortland,12.413793103448276,Cardinals and Buntings,4
Cortland,12.413793103448276,Chickadees and Titmice,2
Cortland,12.413793103448276,Creepers,1
Cortland,12.413793103448276,Crows and Jays,3
Cortland,12.413793103448276,Cuckoos,2
Cortland,12.413793103448276,"Ducks, Geese, Waterfowl",6
Cortland,12.413793103448276,Finches and Crossbills,6
Cortland,12.413793103448276,Flycatchers,7
