long,lat,group,order,region,County,Species
-73.73394012451172,40.62270736694336,1835,54129,new york,queens,115
-73.745391845703125,40.61124801635742,1835,54130,new york,queens,115
-73.71675109863281,40.57686996459961,1835,54131,new york,queens,115
-73.76831817626953,40.56541061401367,1835,54132,new york,queens,115
-73.81415557861328,40.56541061401367,1835,54133,new york,queens,115
-73.85426330566406,40.553951263427734,1835,54134,new york,queens,115
-73.882904052734375,40.54822540283203,1835,54135,new york,queens,115
-73.91155242919922,40.553951263427734,1835,54136,new york,queens,115
-73.90010070800781,40.56541061401367,1835,54137,new york,queens,115
-73.86571502685547,40.57686996459961,1835,54138,new york,queens,115
-73.82560729980469,40.58832931518555,1835,54139,new york,queens,115
-73.791229248046875,40.59406280517578,1835,54140,new york,queens,115
-73.77977752685547,40.61124801635742,1835,54141,new york,queens,115
-73.77977752685547,40.62270736694336,1835,54142,new york,queens,115
-73.796966552734375,40.639896392822266,1835,54143,new york,queens,115
-73.83133697509766,40.6341667175293,1835,54144,new york,queens,115
-73.86571502685547,40.6341667175293,1835,54145,new york,queens,115
-73.882904052734375,40.65708541870117,1835,54146,new york,queens,115
-73.89437103271484,40.67427444458008,1835,54147,new york,queens,115
-73.92301177978516,40.68000411987305,1835,54148,new york,queens,115
-73.9402084350586,40.69719314575195,1835,54149,new york,queens,115
-73.934478759765625,40.70865249633789,1835,54150,new york,queens,115
-73.94593048095703,40.72010803222656,1835,54151,new york,queens,115
-73.91155242919922,40.77167892456055,1835,54152,new york,queens,115
-73.888641357421875,40.76594543457031,1835,54153,new york,queens,115
-73.86571502685547,40.75448989868164,1835,54154,new york,queens,115
-73.8485336303711,40.760215759277344,1835,54155,new york,queens,115
-73.83133697509766,40.777408599853516,1835,54156,new york,queens,115
-73.81415557861328,40.80032730102539,1835,54157,new york,queens,115
-73.80842590332031,40.78313446044922,1835,54158,new york,queens,115
-73.7740478515625,40.77167892456055,1835,54159,new york,queens,115
-73.76258850097656,40.777408599853516,1835,54160,new york,queens,115
-73.35005950927734,42.513465881347656,1836,54162,new york,rensselaer,157
-73.7854995727539,42.467628479003906,1836,54163,new york,rensselaer,157
-73.7740478515625,42.53065490722656,1836,54164,new york,rensselaer,157
-73.76258850097656,42.570762634277344,1836,54165,new york,rensselaer,157
-73.7568588256836,42.59941101074219,1836,54166,new york,rensselaer,157
-73.76258850097656,42.61087417602539,1836,54167,new york,rensselaer,157
-73.745391845703125,42.6337890625,1836,54168,new york,rensselaer,157
-73.73966217041016,42.66816711425781,1836,54169,new york,rensselaer,157
-73.72248077392578,42.696815490722656,1836,54170,new york,rensselaer,157
-73.67664337158203,42.788490295410156,1836,54171,new york,rensselaer,157
-73.67091369628906,42.817138671875,1836,54172,new york,rensselaer,157
-73.67091369628906,42.84005355834961,1836,54173,new york,rensselaer,157
-73.67091369628906,42.87443161010742,1836,54174,new york,rensselaer,157
-73.67091369628906,42.8973503112793,1836,54175,new york,rensselaer,157
-73.65372467041016,42.9145393371582,1836,54176,new york,rensselaer,157
-73.64226531982422,42.93172836303711,1836,54177,new york,rensselaer,157
-73.64226531982422,42.94318389892578,1836,54178,new york,rensselaer,157
-73.45318603515625,42.948917388916016,1836,54179,new york,rensselaer,157
-73.436004638671875,42.96037673950195,1836,54180,new york,rensselaer,157
-73.41880798339844,42.954647064208984,1836,54181,new york,rensselaer,157
-73.3958969116211,42.954647064208984,1836,54182,new york,rensselaer,157
-73.384429931640625,42.948917388916016,1836,54183,new york,rensselaer,157
-73.28130340576172,42.94318389892578,1836,54184,new york,rensselaer,157
-73.28130340576172,42.8973503112793,1836,54185,new york,rensselaer,157
-73.27557373046875,42.84005355834961,1836,54186,new york,rensselaer,157
-73.28130340576172,42.817138671875,1836,54187,new york,rensselaer,157
-73.28130340576172,42.788490295410156,1836,54188,new york,rensselaer,157
-73.28130340576172,42.742652893066406,1836,54189,new york,rensselaer,157
-73.27557373046875,42.702545166015625,1836,54190,new york,rensselaer,157
-73.31568145751953,42.59941101074219,1836,54191,new york,rensselaer,157
-73.35005950927734,42.513465881347656,1836,54192,new york,rensselaer,157
-74.16938781738281,40.6513557434082,1837,54194,new york,richmond,126
-74.14646911621094,40.65708541870117,1837,54195,new york,richmond,126
-74.09490203857422,40.66281509399414,1837,54196,new york,richmond,126
-74.0605239868164,40.61124801635742,1837,54197,new york,richmond,126
-74.08344268798828,40.58832931518555,1837,54198,new york,richmond,126
-74.12928009033203,40.553951263427734,1837,54199,new york,richmond,126
-74.16365814208984,40.531036376953125,1837,54200,new york,richmond,126
-74.18657684326172,40.50811767578125,1837,54201,new york,richmond,126
-74.23241424560547,40.490928649902344,1837,54202,new york,richmond,126
-74.27824401855469,40.485198974609375,1837,54203,new york,richmond,126
-74.295440673828125,40.50811767578125,1837,54204,new york,richmond,126
-74.289703369140625,40.51957321166992,1837,54205,new york,richmond,126
-74.26106262207031,40.531036376953125,1837,54206,new york,richmond,126
-74.243865966796875,40.553951263427734,1837,54207,new york,richmond,126
-74.23241424560547,40.58259963989258,1837,54208,new york,richmond,126
-74.22095489501953,40.61124801635742,1837,54209,new york,richmond,126
-74.203765869140625,40.62270736694336,1837,54210,new york,richmond,126
-74.18084716796875,40.6513557434082,1837,54211,new york,richmond,126
-74.16938781738281,40.6513557434082,1837,54212,new york,richmond,126
-74.2381362915039,41.144100189208984,1838,54214,new york,rockland,143
-73.9688491821289,41.32744598388672,1838,54215,new york,rockland,143
-73.9688491821289,41.31025695800781,1838,54216,new york,rockland,143
-73.96311950683594,41.293067932128906,1838,54217,new york,rockland,143
-73.95738983154297,41.28160858154297,1838,54218,new york,rockland,143
-73.96311950683594,41.258689880371094,1838,54219,new york,rockland,143
-73.96311950683594,41.247230529785156,1838,54220,new york,rockland,143
-73.95738983154297,41.230045318603516,1838,54221,new york,rockland,143
-73.91155242919922,41.189937591552734,1838,54222,new york,rockland,143
-73.89437103271484,41.155555725097656,1838,54223,new york,rockland,143
-73.89437103271484,41.12691116333008,1838,54224,new york,rockland,143
-73.90010070800781,40.9951286315918,1838,54225,new york,rockland,143
-74.19229888916016,41.12691116333008,1838,54226,new york,rockland,143
-74.2381362915039,41.144100189208984,1838,54227,new york,rockland,143
-74.08917236328125,42.954647064208984,1840,54259,new york,saratoga,161
-74.09490203857422,42.98329162597656,1840,54260,new york,saratoga,161
-74.14646911621094,43.25258255004883,1840,54261,new york,saratoga,161
-74.16365814208984,43.37290573120117,1840,54262,new york,saratoga,161
-73.882904052734375,43.39582061767578,1840,54263,new york,saratoga,161
-73.837066650390625,43.29841995239258,1840,54264,new york,saratoga,161
-73.83133697509766,43.29269027709961,1840,54265,new york,saratoga,161
-73.842803955078125,43.2583122253418,1840,54266,new york,saratoga,161
-73.83133697509766,43.25258255004883,1840,54267,new york,saratoga,161
-73.80842590332031,43.25258255004883,1840,54268,new york,saratoga,161
-73.791229248046875,43.24112319946289,1840,54269,new york,saratoga,161
-73.7740478515625,43.23539352416992,1840,54270,new york,saratoga,161
-73.76258850097656,43.24112319946289,1840,54271,new york,saratoga,161
-73.745391845703125,43.2755012512207,1840,54272,new york,saratoga,161
-73.71675109863281,43.28123092651367,1840,54273,new york,saratoga,161
-73.705291748046875,43.28123092651367,1840,54274,new york,saratoga,161
-73.69383239746094,43.28123092651367,1840,54275,new york,saratoga,161
-73.68810272216797,43.269775390625,1840,54276,new york,saratoga,161
-73.67664337158203,43.269775390625,1840,54277,new york,saratoga,161
-73.67664337158203,43.28123092651367,1840,54278,new york,saratoga,161
-73.67091369628906,43.29841995239258,1840,54279,new york,saratoga,161
-73.63080596923828,43.30414962768555,1840,54280,new york,saratoga,161
-73.60215759277344,43.29841995239258,1840,54281,new york,saratoga,161
-73.60215759277344,43.28123092651367,1840,54282,new york,saratoga,161
-73.6078872680664,43.264041900634766,1840,54283,new york,saratoga,161
-73.58496856689453,43.21247482299805,1840,54284,new york,saratoga,161
-73.58496856689453,43.16664123535156,1840,54285,new york,saratoga,161
-73.58496856689453,43.12080383300781,1840,54286,new york,saratoga,161
-73.573516845703125,43.09788513183594,1840,54287,new york,saratoga,161
-73.57923889160156,43.06351089477539,1840,54288,new york,saratoga,161
-73.6078872680664,43.00621032714844,1840,54289,new york,saratoga,161
-73.63080596923828,42.97756576538086,1840,54290,new york,saratoga,161
-73.64226531982422,42.94318389892578,1840,54291,new york,saratoga,161
-73.64226531982422,42.93172836303711,1840,54292,new york,saratoga,161
-73.65372467041016,42.9145393371582,1840,54293,new york,saratoga,161
-73.67091369628906,42.8973503112793,1840,54294,new york,saratoga,161
-73.67091369628906,42.87443161010742,1840,54295,new york,saratoga,161
-73.67091369628906,42.84005355834961,1840,54296,new york,saratoga,161
-73.67091369628906,42.817138671875,1840,54297,new york,saratoga,161
-73.67664337158203,42.788490295410156,1840,54298,new york,saratoga,161
-73.71102142333984,42.788490295410156,1840,54299,new york,saratoga,161
-73.72248077392578,42.81140899658203,1840,54300,new york,saratoga,161
-73.745391845703125,42.817138671875,1840,54301,new york,saratoga,161
-73.7568588256836,42.817138671875,1840,54302,new york,saratoga,161
-73.7854995727539,42.794219970703125,1840,54303,new york,saratoga,161
-73.81988525390625,42.78275680541992,1840,54304,new york,saratoga,161
-73.842803955078125,42.817138671875,1840,54305,new york,saratoga,161
-73.85426330566406,42.817138671875,1840,54306,new york,saratoga,161
-73.882904052734375,42.834327697753906,1840,54307,new york,saratoga,161
-73.90010070800781,42.85724639892578,1840,54308,new york,saratoga,161
-73.90582275390625,42.87443161010742,1840,54309,new york,saratoga,161
-73.91155242919922,42.9145393371582,1840,54310,new york,saratoga,161
-73.95738983154297,42.8973503112793,1840,54311,new york,saratoga,161
